idx,age,Medu,Fedu,traveltime,studytime,famrel,freetime,goout,Dalc,Walc,health,sex_M,address_U,famsize_LE3,Pstatus_T,nursery,plans_universitypast_failures
68,19,3,2,1,1,4,5,4.0,1.0,1.0,4,1,1,0,1,1,-10
69,17,4,4,1,2,5,2,5.0,1.0,1.0,5,0,1,0,1,1,10
70,16,4,2,10,2,4,2,3.0,1.0,1.0,3,0,1,0,1,1,10
71,1988,4,4,2,2,4,3,5.0,1.0,2.0,1,0,1,0,1,0,10
72,17,2,3,1,2,5,3,3.0,1.0,3.0,3,1,1,1,1,0,10
73,18,2,2,1,3,4,3,3.0,,2.0,2,0,1,0,1,1,10
74,16,3,1,2,4,4,3,2.0,1.0,1.0,5,1,1,0,1,1,10
75,1989,4,4,1,1,4,2,1.0,1.0,1.0,4,0,1,0,1,1,10
76,16,1,1,1,4,2,2,1.0,1.0,1.0,5,0,1,0,1,1,10
77,18,4,4,2,3,4,2,2.0,2.0,2.0,5,1,1,1,1,1,10
78,17,3,3,1,1,4,4,3.0,,3.0,5,1,1,0,1,1,10
79,17,2,4,1,3,4,4,3.0,1.0,1.0,5,0,0,0,1,1,10
80,16,3,2,1,1,3,1,3.0,1.0,4.0,3,0,1,0,1,1,10
81,17,0,2,2,3,3,3,3.0,2.0,3.0,2,0,1,1,1,1,10
82,17,3,3,2,4,5,4,5.0,3.0,4.0,5,1,1,0,1,1,11
83,16,4,2,1,2,4,5,1.0,1.0,3.0,5,1,1,1,1,1,10
84,18,4,4,3,1,4,4,3.0,2.0,2.0,5,0,0,0,1,1,10
85,18,3,3,1,2,3,2,4.0,2.0,4.0,4,1,1,1,1,1,10
86,16,2,2,1,1,4,2,5.0,1.0,2.0,5,0,1,0,1,1,10
87,15,4,3,1,1,4,5,5.0,1.0,3.0,1,0,1,0,1,1,10
88,17,1,1,2,1,4,4,4.0,1.0,2.0,5,1,1,1,1,1,11
89,16,1,2,2,2,4,3,3.0,1.0,,5,1,0,0,1,1,10
90,16,4,3,1,2,1,3,2.0,1.0,1.0,1,0,1,0,1,1,10
91,17,3,2,1,2,4,3,2.0,2.0,3.0,2,0,1,0,1,1,10
92,15,4,2,1,3,5,3,3.0,1.0,3.0,1,0,1,0,1,1,10
93,18,4,4,1,1,1,4,2.0,2.0,2.0,1,1,1,1,1,1,10
94,16,4,4,1,2,4,4,5.0,5.0,5.0,5,1,1,0,1,1,10
95,18,2,2,1,2,2,3,3.0,1.0,2.0,4,0,0,1,1,1,11
96,17,4,4,1,1,5,2,3.0,1.0,2.0,5,1,1,0,1,1,10
97,15,2,1,1,2,5,4,2.0,1.0,1.0,5,1,0,0,1,1,10
98,17,2,2,1,2,4,4,2.0,5.0,5.0,4,1,1,1,1,0,10
99,18,2,2,2,2,4,3,5.0,1.0,1.0,1,0,1,0,1,0,10
100,15,3,2,2,2,4,3,5.0,1.0,1.0,2,0,1,0,1,1,10
101,15,4,3,1,2,4,3,2.0,1.0,1.0,1,0,1,0,0,1,10
102,18,3,2,2,1,2,5,5.0,5.0,5.0,5,1,0,0,1,0,10
103,17,2,2,1,2,4,2,2.0,1.0,1.0,3,0,1,0,1,1,10
104,16,2,1,1,1,4,4,4.0,3.0,5.0,5,1,1,1,1,1,11
105,18,1,1,3,2,3,4,4.0,2.0,2.0,5,0,1,0,1,1,12
106,16,2,1,1,2,4,2,3.0,1.0,2.0,5,1,1,1,1,1,10
107,18,2,2,1,1,4,3,5.0,2.0,4.0,5,0,1,0,1,1,10
108,18,4,4,2,3,5,4,4.0,1.0,1.0,1,0,0,1,1,1,10
109,16,3,2,1,2,1,2,2.0,1.0,2.0,1,0,1,0,1,1,10
110,19,1,1,2,2,4,3,3.0,1.0,1.0,3,0,0,0,1,1,11
111,16,4,4,1,3,5,4,5.0,1.0,1.0,4,0,1,1,1,1,10
112,20,1,0,2,1,5,3,1.0,1.0,1.0,5,0,1,0,1,1,11
113,17,1,1,2,3,4,3,3.0,1.0,1.0,1,1,0,0,1,0,10
114,18,1,1,4,3,4,3,2.0,1.0,2.0,4,0,0,0,1,1,10
115,15,3,3,1,1,5,3,4.0,4.0,4.0,1,0,1,1,0,1,10
116,16,2,1,2,1,2,4,3.0,2.0,3.0,4,1,1,1,1,1,10
117,18,2,2,2,2,4,1,4.0,1.0,3.0,4,0,1,1,0,1,10
118,16,3,4,3,2,4,2,1.0,1.0,1.0,2,0,0,1,1,0,10
119,15,4,4,1,1,5,4,2.0,1.0,1.0,5,1,1,0,1,1,10
120,18,1,2,2,2,4,1,1.0,1.0,1.0,4,0,1,0,1,1,-10
121,18,1,3,1,1,4,3,3.0,2.0,3.0,3,1,1,1,1,1,-10
122,17,4,3,1,2,3,2,3.0,1.0,2.0,3,0,1,1,1,1,10
123,19,2,1,1,1,5,3,4.0,1.0,4.0,4,1,1,0,1,1,10
124,18,3,2,1,3,4,3,4.0,1.0,2.0,2,0,1,0,1,1,10
125,15,4,4,1,2,5,4,2.0,3.0,4.0,5,1,1,0,1,0,10
126,15,4,3,1,2,4,4,1.0,1.0,1.0,1,1,1,0,1,1,10
127,15,4,4,1,1,5,4,3.0,2.0,4.0,5,1,1,1,1,0,10
128,17,3,4,3,2,5,4,5.0,2.0,4.0,5,1,0,0,1,1,10
129,16,1,1,4,2,5,1,3.0,1.0,1.0,3,0,0,0,1,1,10
130,17,3,3,1,3,3,2,3.0,1.0,1.0,4,0,1,0,1,0,10
131,16,4,4,1,2,4,4,2.0,1.0,1.0,3,0,1,0,1,1,10
132,16,2,2,1,1,1,2,2.0,1.0,3.0,5,0,1,0,1,0,10
133,16,4,4,2,1,5,1,3.0,1.0,2.0,5,0,1,1,1,1,10
134,15,4,2,1,4,3,3,3.0,1.0,1.0,3,1,1,0,1,1,10
135,18,2,1,2,3,4,4,4.0,1.0,1.0,3,0,1,0,1,0,10
136,17,4,4,2,1,4,2,4.0,2.0,3.0,2,0,1,0,1,1,11
137,19,1,1,2,1,5,5,5.0,2.0,3.0,2,0,1,0,1,1,-11
138,19,4,4,1,1,3,2,5.0,4.0,4.0,5,0,1,0,1,1,11
139,17,2,2,1,2,5,4,5.0,1.0,2.0,5,0,1,0,1,0,10
140,15,4,4,1,2,3,2,2.0,1.0,1.0,5,1,1,0,1,1,10
141,18,4,4,1,1,5,4,5.0,1.0,,5,1,1,1,1,1,10
142,15,4,4,4,4,1,3,5.0,3.0,5.0,1,1,0,0,1,1,10
143,17,1,1,2,1,3,5,5.0,2.0,2.0,4,0,0,0,1,1,-10
144,18,2,2,2,2,3,3,3.0,5.0,5.0,4,1,1,0,1,1,13
145,16,1,1,2,2,3,4,3.0,1.0,1.0,1,0,0,0,1,1,13
146,17,3,2,2,1,4,5,2.0,1.0,1.0,2,1,1,0,1,0,-13
147,17,1,1,1,3,4,3,3.0,1.0,1.0,3,0,1,1,1,1,10
148,18,1,1,2,2,2,3,5.0,1.0,4.0,3,0,1,1,1,1,10
149,18,4,2,1,2,4,2,2.0,1.0,1.0,3,0,1,1,1,1,10
150,16,4,4,1,3,5,3,2.0,1.0,1.0,5,0,1,0,1,0,10
151,16,4,4,1,1,3,4,4.0,1.0,4.0,5,1,1,0,1,1,10
152,15,1,1,2,1,4,4,3.0,1.0,2.0,2,0,0,1,1,1,11
153,16,2,2,4,3,5,1,3.0,2.0,2.0,3,1,1,1,1,1,10
154,17,1,1,1,2,4,3,2.0,1.0,1.0,4,0,1,0,1,0,10
155,18,2,3,1,3,4,3,3.0,1.0,2.0,3,0,1,0,1,1,10
156,17,2,2,1,1,3,1,2.0,1.0,1.0,1,0,1,1,0,0,-11
157,17,1,1,1,2,4,5,5.0,1.0,2.0,3,0,1,0,0,1,10
158,17,2,4,1,2,5,4,2.0,2.0,3.0,5,0,1,0,1,1,10
159,17,3,3,1,2,4,3,4.0,1.0,4.0,4,1,1,0,1,0,10
160,19,2,2,1,2,4,3,3.0,1.0,1.0,5,0,1,0,1,1,10
161,19,2,3,1,3,5,4,2.0,1.0,2.0,5,0,0,0,1,0,11
162,16,1,2,1,1,3,3,3.0,1.0,2.0,3,1,1,0,1,1,10
163,15,3,3,1,2,5,3,2.0,1.0,1.0,2,1,1,1,1,0,10
164,17,4,2,1,2,4,3,2.0,1.0,1.0,4,0,1,1,0,1,10
165,17,4,4,2,3,5,3,4.0,1.0,1.0,5,0,0,0,1,1,10
166,17,1,1,1,2,5,3,3.0,1.0,1.0,3,0,1,0,1,0,10
167,16,0,2,1,1,4,3,2.0,2.0,4.0,5,1,1,0,1,0,10
168,19,2,1,2,1,4,4,3.0,1.0,3.0,5,1,1,0,1,0,-13
169,18,2,2,1,3,4,3,3.0,1.0,1.0,3,0,1,0,1,1,10
170,17,1,2,1,1,5,5,5.0,5.0,5.0,3,1,0,1,1,1,10
171,17,2,2,1,1,3,4,4.0,1.0,3.0,5,0,1,1,1,1,10
172,17,3,2,1,4,5,2,2.0,1.0,2.0,5,0,1,0,1,0,10
173,17,3,1,1,3,3,4,3.0,2.0,3.0,5,0,1,0,1,0,10
174,16,3,1,1,1,3,1,3.0,1.0,3.0,1,0,1,0,1,1,10
175,19,1,1,1,3,5,3,1.0,1.0,1.0,3,0,1,0,1,1,-11
176,16,2,2,3,2,5,3,4.0,1.0,1.0,2,0,0,0,1,1,10
177,17,4,4,2,3,4,3,3.0,1.0,2.0,4,0,1,0,1,0,10
178,17,2,2,1,2,3,3,1.0,1.0,2.0,4,0,1,0,0,1,10
179,17,4,2,1,4,4,2,3.0,1.0,1.0,4,0,1,1,1,1,10
180,17,2,1,3,2,2,1,1.0,1.0,1.0,3,0,0,0,1,1,10
181,16,4,4,1,1,5,3,4.0,1.0,2.0,1,0,1,0,1,0,10
182,18,4,4,2,2,4,3,4.0,1.0,1.0,3,0,1,0,0,1,10
183,15,4,4,1,2,4,4,4.0,1.0,1.0,3,0,1,0,1,0,10
184,17,2,2,3,3,4,2,3.0,1.0,1.0,1,0,1,0,1,1,10
185,16,1,1,2,1,4,3,2.0,1.0,4.0,5,0,1,0,1,1,10
186,17,4,3,1,2,5,2,3.0,1.0,1.0,2,1,1,0,1,1,10
187,17,2,3,2,1,5,5,5.0,1.0,3.0,3,0,0,0,1,1,10
188,15,4,2,1,1,3,5,2.0,1.0,1.0,3,1,1,1,1,1,10
189,16,3,1,1,2,3,3,3.0,2.0,3.0,2,0,1,1,1,1,10
190,19,1,1,1,2,4,4,3.0,3.0,4.0,4,1,1,0,1,1,-12
191,16,1,1,1,1,4,4,4.0,2.0,2.0,4,0,0,1,1,1,10
192,18,1,4,1,2,3,4,4.0,1.0,2.0,5,0,1,0,1,0,10
193,16,4,3,1,3,3,4,4.0,2.0,4.0,4,0,1,0,1,1,10
194,16,1,2,1,3,4,4,3.0,1.0,1.0,5,1,1,0,0,1,10
195,18,2,2,2,2,1,3,1.0,1.0,1.0,2,0,1,0,1,0,10
196,17,1,2,1,1,5,3,5.0,5.0,5.0,1,1,1,0,1,1,-11
197,18,3,2,1,3,4,3,3.0,5.0,1.0,5,0,1,0,0,0,10
198,16,4,4,1,2,2,4,4.0,2.0,3.0,4,0,0,0,1,1,10
199,15,4,2,2,1,5,5,5.0,3.0,4.0,5,1,1,1,0,1,10
200,18,2,1,1,2,5,2,4.0,1.0,2.0,4,1,1,0,1,1,10
201,18,3,3,1,2,5,3,4.0,1.0,1.0,4,0,1,0,1,1,10
202,17,2,1,1,2,4,2,3.0,2.0,2.0,2,0,1,1,1,1,10
203,15,4,4,1,2,3,3,3.0,1.0,2.0,2,0,1,0,1,1,10
204,17,4,2,1,3,4,3,4.0,1.0,3.0,5,0,0,0,1,1,10
205,15,2,3,1,2,4,4,4.0,1.0,1.0,1,1,0,0,1,1,10
206,17,4,1,1,1,3,2,2.0,1.0,1.0,5,0,1,0,1,1,10
207,15,4,3,2,2,5,4,3.0,1.0,2.0,3,1,1,0,1,1,10
208,18,1,1,1,2,4,3,2.0,1.0,1.0,5,0,0,0,1,1,11
209,16,4,3,1,1,3,1,3.0,1.0,3.0,5,1,1,1,1,1,10
210,17,4,4,2,2,4,1,4.0,1.0,1.0,1,0,1,0,0,1,10
211,16,2,3,1,2,2,3,1.0,1.0,1.0,3,0,1,0,1,1,10
212,15,4,2,1,3,3,2,2.0,1.0,1.0,5,0,1,0,1,1,10
213,18,2,1,1,2,5,4,5.0,1.0,3.0,5,0,1,0,1,1,-13
214,16,2,2,2,2,3,3,3.0,1.0,2.0,3,0,1,1,1,0,10
215,16,1,1,2,1,4,2,2.0,4.0,3.0,2,0,0,0,1,1,10
216,16,4,4,1,1,5,3,2.0,1.0,2.0,5,1,1,0,1,1,10
217,15,2,2,2,2,5,3,3.0,1.0,3.0,4,1,1,1,1,1,10
218,18,4,4,1,3,4,3,3.0,2.0,2.0,3,1,1,0,1,1,10
219,17,4,4,1,2,5,3,1.0,1.0,4.0,5,0,1,0,1,1,10
220,16,4,3,1,1,5,4,5.0,1.0,1.0,3,1,1,1,1,0,10
221,15,3,2,1,2,4,4,4.0,1.0,1.0,5,0,1,1,1,1,10
222,17,3,3,1,1,4,1,4.0,5.0,5.0,3,1,1,0,1,1,10
223,15,4,2,1,2,4,3,3.0,2.0,2.0,5,1,1,0,1,1,10
224,18,3,3,1,2,4,1,3.0,1.0,2.0,1,0,1,0,1,1,10
225,16,2,1,1,1,5,4,3.0,1.0,1.0,5,0,0,1,1,1,10
226,18,1,1,2,2,1,1,1.0,1.0,1.0,5,0,1,0,1,1,10
227,16,2,2,1,2,5,4,3.0,1.0,1.0,1,0,0,1,1,1,10
228,15,3,4,4,2,5,3,3.0,1.0,1.0,5,1,0,0,1,1,10
229,15,2,1,1,1,4,3,3.0,1.0,2.0,5,1,1,1,0,1,10
230,18,1,1,2,2,4,4,3.0,1.0,1.0,3,0,1,1,1,0,10
231,16,2,2,1,2,3,1,2.0,1.0,1.0,5,0,1,0,1,1,11
232,17,2,1,2,1,3,3,2.0,2.0,2.0,5,1,0,1,1,1,-11
233,16,1,2,1,2,4,4,3.0,1.0,1.0,1,0,1,1,1,1,10
234,18,4,4,2,2,4,3,4.0,,2.0,4,0,0,0,1,1,10
235,16,2,2,2,1,5,4,3.0,2.0,4.0,4,1,0,0,1,1,10
236,17,4,4,3,1,3,3,3.0,1.0,3.0,5,1,0,0,1,1,13
237,16,4,3,1,4,4,2,2.0,1.0,1.0,2,1,1,0,1,1,10
238,18,2,2,1,2,4,4,4.0,1.0,3.0,3,1,1,1,1,0,-10
239,16,4,1,1,1,4,1,2.0,2.0,1.0,2,1,0,1,1,1,10
240,15,2,1,1,2,4,4,2.0,3.0,3.0,2,0,1,0,1,0,10
241,16,3,3,3,1,3,3,4.0,3.0,5.0,3,1,0,1,1,1,10
242,17,4,3,1,2,3,4,5.0,2.0,4.0,1,0,1,0,1,1,10
243,16,4,4,2,3,5,3,5.0,1.0,4.0,5,0,1,0,1,1,10
244,18,3,1,1,2,4,3,4.0,1.0,1.0,1,0,1,1,1,1,10
245,19,1,1,1,1,1,4,4.0,1.0,1.0,5,0,1,1,0,1,-10
246,17,2,2,2,2,5,1,3.0,1.0,1.0,5,0,0,0,1,1,10
247,17,2,4,2,2,4,3,3.0,1.0,1.0,1,0,1,0,1,1,10
248,15,4,2,1,2,4,3,3.0,1.0,1.0,5,0,1,1,1,1,10
249,18,4,2,1,2,5,4,5.0,1.0,3.0,5,1,1,0,1,1,10
250,18,1,2,25,2,4,3,3.0,1.0,1.0,5,0,1,0,0,1,12
251,18,3,3,1,2,5,3,4.0,1.0,1.0,5,0,1,0,1,1,10
252,18,4,4,1,2,4,3,3.0,2.0,2.0,2,1,1,0,1,1,10
253,17,1,1,1,3,4,3,4.0,1.0,1.0,5,0,1,0,1,1,10
254,16,4,2,1,2,4,2,3.0,1.0,1.0,5,0,1,0,1,1,10
255,17,3,2,1,1,4,4,4.0,3.0,4.0,3,1,1,1,0,1,10
256,18,2,1,2,2,5,3,3.0,1.0,2.0,1,0,1,0,1,1,10
257,15,3,2,1,2,3,3,2.0,1.0,1.0,3,0,1,0,1,1,11
258,18,1,1,2,2,5,4,4.0,1.0,1.0,4,0,1,0,1,1,10
259,17,2,2,3,4,1,3,5.0,3.0,5.0,3,1,0,1,1,1,11
260,15,3,3,2,1,4,3,3.0,2.0,4.0,3,1,1,0,1,0,10
261,17,3,2,2,2,1,2,3.0,1.0,2.0,5,0,1,1,0,1,10
262,16,1,1,4,1,5,5,5.0,5.0,5.0,5,0,1,0,1,0,10
263,15,3,3,1,2,1,3,2.0,2.0,3.0,1,0,1,0,0,0,10
264,16,2,2,2,2,4,4,4.0,1.0,1.0,5,0,0,0,1,1,10
265,17,3,1,2,4,3,1,2.0,1.0,1.0,3,0,0,1,1,1,10
266,16,2,2,2,2,4,4,2.0,1.0,1.0,3,1,1,0,1,0,10
267,15,4,4,1,1,5,3,3.0,1.0,1.0,5,1,1,0,1,0,10
268,17,1,1,1,2,5,3,3.0,1.0,1.0,3,0,1,0,1,1,10
269,16,2,2,1,3,4,3,3.0,2.0,2.0,5,0,0,1,1,0,10
270,18,1,1,3,2,4,4,2.0,1.0,2.0,2,0,1,0,1,1,-11
271,18,2,1,1,2,4,2,5.0,1.0,2.0,1,0,1,0,1,1,10
272,18,2,2,2,3,5,3,3.0,1.0,3.0,4,0,0,0,1,1,10
273,15,4,3,1,3,5,4,3.0,1.0,1.0,4,1,1,1,1,1,10
274,18,1,1,2,1,3,3,2.0,1.0,2.0,3,1,1,1,1,0,10
275,18,2,1,1,1,3,2,5.0,2.0,5.0,5,1,1,0,1,0,-12
276,17,4,3,1,2,5,2,2.0,1.0,2.0,5,0,1,0,0,1,10
277,16,4,4,1,1,4,4,4.0,1.0,2.0,2,0,1,0,1,1,10
278,18,1,1,2,4,5,2,2.0,1.0,1.0,3,0,0,1,1,1,10
279,16,4,4,1,3,5,3,3.0,1.0,3.0,5,1,1,0,1,1,10
280,17,1,1,1,2,4,3,4.0,1.0,2.0,5,0,1,0,1,1,10
281,17,4,3,2,2,4,4,4.0,4.0,4.0,4,1,1,1,1,1,10
282,16,4,3,1,1,4,2,5.0,1.0,5.0,5,1,1,1,1,1,10
283,15,1,1,1,2,4,3,2.0,2.0,3.0,4,0,1,0,1,0,10
284,17,2,2,2,2,5,3,2.0,1.0,1.0,1,0,0,0,1,1,10
285,16,3,1,1,4,4,3,3.0,,2.0,5,0,1,0,1,1,10
286,17,2,2,2,1,5,5,5.0,3.0,5.0,5,1,0,0,1,1,-10
287,1988,2,2,2,1,5,5,5.0,1.0,1.0,3,0,0,0,1,1,-11
288,16,1,1,1,2,4,4,4.0,1.0,3.0,5,1,1,1,1,1,12
289,17,2,2,2,1,5,2,2.0,1.0,1.0,4,1,0,0,1,0,-10
290,18,2,1,2,2,4,3,1.0,1.0,1.0,5,0,1,0,1,1,10
291,17,1,1,2,1,4,4,5.0,1.0,2.0,5,0,0,0,1,0,10
292,18,3,4,1,2,4,3,3.0,1.0,3.0,5,1,1,1,1,1,10
293,16,1,1,2,2,3,4,2.0,1.0,1.0,5,1,1,1,1,1,10
294,18,3,2,1,3,5,4,3.0,2.0,3.0,1,0,1,0,1,1,10
295,18,1,1,2,3,4,5,5.0,1.0,2.0,2,0,1,0,1,1,10
296,18,4,3,1,2,4,3,2.0,1.0,1.0,3,1,1,0,1,0,10
297,16,2,2,1,2,3,3,4.0,1.0,1.0,4,0,1,0,0,1,10
298,20,1,1,2,3,3,2,2.0,1.0,3.0,3,0,0,0,1,1,10
299,16,4,4,2,3,4,2,2.0,1.0,1.0,4,0,0,0,1,1,10
300,17,1,1,3,1,4,2,3.0,3.0,4.0,4,1,0,0,1,0,-10
301,16,3,4,1,1,3,2,1.0,1.0,4.0,5,0,1,0,0,1,10
302,17,1,3,3,2,5,2,4.0,1.0,4.0,5,1,0,0,1,1,11
303,18,2,1,2,1,4,4,3.0,1.0,3.0,5,1,0,0,1,0,10
304,15,2,2,1,1,5,4,1.0,1.0,1.0,1,1,1,0,1,1,10
305,17,1,1,3,2,5,1,3.0,3.0,3.0,1,1,1,0,1,1,10
306,17,2,2,1,3,3,4,3.0,1.0,1.0,3,0,1,0,1,1,10
307,16,1,1,2,1,3,3,3.0,1.0,2.0,1,0,0,0,1,1,10
308,18,1,2,3,2,4,3,4.0,1.0,4.0,5,0,0,1,0,1,10
309,16,3,1,1,2,2,3,3.0,,2.0,4,0,1,0,0,1,10
310,17,4,4,1,2,4,4,4.0,1.0,3.0,5,1,1,1,1,1,10
311,18,3,1,1,2,5,3,3.0,1.0,1.0,4,0,0,0,1,1,10
312,17,1,0,2,2,4,4,5.0,1.0,1.0,4,0,1,0,0,1,10
313,18,2,2,1,2,5,5,4.0,3.0,5.0,2,1,1,0,1,1,-10
314,15,2,2,1,1,4,2,2.0,1.0,2.0,5,1,1,0,1,1,10
315,16,4,4,1,2,4,1,3.0,3.0,5.0,5,1,1,1,0,1,10
316,17,3,3,2,1,4,4,3.0,1.0,1.0,4,0,1,0,1,1,10
317,18,2,3,1,1,3,1,3.0,4.0,5.0,4,1,0,0,1,1,10
318,18,2,1,1,3,4,2,4.0,1.0,3.0,2,1,1,0,1,1,10
319,17,4,2,1,2,5,5,5.0,1.0,3.0,5,0,1,0,1,1,10
320,17,1,1,1,1,4,3,2.0,1.0,2.0,5,0,1,0,1,1,10
321,19,1,1,2,2,3,5,4.0,1.0,4.0,1,0,0,0,0,1,-13
322,17,2,3,2,1,3,3,3.0,1.0,4.0,3,0,1,0,1,1,10
323,18,3,1,2,1,3,3,4.0,4.0,5.0,4,1,1,1,1,1,10
324,15,2,2,1,4,5,5,4.0,1.0,2.0,5,1,1,0,1,1,10
325,15,2,2,2,2,4,1,3.0,1.0,3.0,4,0,0,1,1,1,10
326,17,4,4,1,1,4,2,1.0,1.0,2.0,5,1,1,0,1,0,10
327,16,1,3,1,2,4,3,5.0,1.0,1.0,3,0,1,0,1,0,10
328,15,3,3,1,2,4,5,4.0,1.0,1.0,1,0,0,0,1,1,10
